step strain stress33
85900 0.0859 2080186464.60403
86000 0.086 2081715084.75578
86100 0.0861 2083158228.74867
86200 0.0862 2084565684.74571
86300 0.0863 2086010610.17127
86400 0.0864 2087565367.18697
86500 0.0865 2089283189.77625
86600 0.0866 2091186114.97894
86700 0.0867 2093260240.57499
86800 0.0868 2095466382.15836
86900 0.0869 2097761169.68129
87000 0.087 2100108704.61439
87100 0.0871 2102476802.67423
87200 0.0872 2104833791.06315
87300 0.0873 2107153323.77493
87400 0.0874 2109412956.66417
87500 0.0875 2111580683.29232
87600 0.0876 2113610140.50747
87700 0.0877 2115461269.5355
87800 0.0878 2117130272.15884
87900 0.0879 2118659081.17575
88000 0.088 2120116937.3429
88100 0.0881 2121571856.16795
88200 0.0882 2123070678.5732
88300 0.0883 2124634982.14098
88400 0.0884 2126270841.66635
88500 0.0885 2127983556.41991
88600 0.0886 2129786307.76433
88700 0.0887 2131698026.72925
88800 0.0888 2133734682.15964
88900 0.0889 2135899659.91167
89000 0.089 2138175747.09639
89100 0.0891 2140521803.63362
89200 0.0892 2142878355.2881
89300 0.0893 2145182490.88618
89400 0.0894 2147386325.23721
89500 0.0895 2149469072.62439
89600 0.0896 2151435146.64951
89700 0.0897 2153300121.08829
89800 0.0898 2155075165.74814
89900 0.0899 2156760243.86001
90000 0.09 2158348767.91407
